branch,metric_key,metric_value
control,0,7
control,3,0
control,4,1
control,5,42
control,6,141
control,7,147
control,8,256
control,9,266
control,10,301
control,11,441
control,12,646
control,13,826
control,14,1575
control,15,4668
control,17,4815
control,19,4158
control,21,4031
control,23,4226
control,25,7008
control,28,7519
control,31,8966
control,34,10151
control,37,14788
control,41,16894
control,45,23436
control,50,27428
control,55,33845
control,61,35151
control,67,45054
control,74,55439
control,81,77324
control,89,79775
control,98,92004
control,108,113628
control,119,136976
control,131,164100
control,144,191508
control,158,227293
control,174,265651
control,192,299227
control,211,351455
control,232,398355
control,255,454835
control,281,512954
control,309,592540
control,340,658870
control,374,752374
control,412,873495
control,454,1005624
control,500,1152650
control,550,1277705
control,605,1385608
control,666,1436261
control,733,1467706
control,807,1457680
control,888,1448105
control,977,1442126
control,1075,1446574
control,1183,1449284
control,1302,1444742
control,1433,1418938
control,1577,1374654
control,1736,1322325
control,1911,1264005
control,2104,1186015
control,2316,1115724
control,2549,1049778
control,2806,957653
control,3089,869612
control,3400,787902
control,3743,688159
control,4120,601463
control,4535,520163
control,4992,409409
control,5495,364166
control,6049,322819
control,6659,281625
control,7330,244226
control,8069,206240
control,8882,177278
control,9777,151643
control,10762,131360
control,11846,114044
control,13040,95464
control,14354,81186
control,15800,70429
control,17392,58877
control,19144,50633
control,21073,47950
control,23196,38890
control,25533,32117
control,28106,29470
control,30938,34620
control,34056,23725
control,37488,18137
control,41265,21594
control,45423,14460
control,50000,82983
treatment-a,2,0
treatment-a,3,1
treatment-a,4,18
treatment-a,5,37
treatment-a,6,125
treatment-a,7,173
treatment-a,8,220
treatment-a,9,238
treatment-a,10,340
treatment-a,11,382
treatment-a,12,408
treatment-a,13,477
treatment-a,14,624
treatment-a,15,1772
treatment-a,17,2278
treatment-a,19,2739
treatment-a,21,3046
treatment-a,23,3581
treatment-a,25,5754
treatment-a,28,7144
treatment-a,31,11005
treatment-a,34,16323
treatment-a,37,32368
treatment-a,41,35117
treatment-a,45,41448
treatment-a,50,31418
treatment-a,55,34919
treatment-a,61,37862
treatment-a,67,49192
treatment-a,74,52370
treatment-a,81,64800
treatment-a,89,75852
treatment-a,98,96640
treatment-a,108,111992
treatment-a,119,132553
treatment-a,131,156692
treatment-a,144,183366
treatment-a,158,224727
treatment-a,174,261616
treatment-a,192,290640
treatment-a,211,508661
treatment-a,232,567145
treatment-a,255,747171
treatment-a,281,610135
treatment-a,309,601878
treatment-a,340,667830
treatment-a,374,771302
treatment-a,412,883302
treatment-a,454,1005164
treatment-a,500,1143276
treatment-a,550,1275762
treatment-a,605,1378575
treatment-a,666,1431615
treatment-a,733,1455644
treatment-a,807,1439723
treatment-a,888,1440064
treatment-a,977,1434634
treatment-a,1075,1450978
treatment-a,1183,1454442
treatment-a,1302,1442209
treatment-a,1433,1415611
treatment-a,1577,1383599
treatment-a,1736,1327990
treatment-a,1911,1260307
treatment-a,2104,1183574
treatment-a,2316,1103071
treatment-a,2549,1029298
treatment-a,2806,948366
treatment-a,3089,868116
treatment-a,3400,782796
treatment-a,3743,688289
treatment-a,4120,601994
treatment-a,4535,524392
treatment-a,4992,412448
treatment-a,5495,366510
treatment-a,6049,323104
treatment-a,6659,279017
treatment-a,7330,241933
treatment-a,8069,206191
treatment-a,8882,176400
treatment-a,9777,151943
treatment-a,10762,130964
treatment-a,11846,113867
treatment-a,13040,95592
treatment-a,14354,81000
treatment-a,15800,70230
treatment-a,17392,58590
treatment-a,19144,50076
treatment-a,21073,47519
treatment-a,23196,38577
treatment-a,25533,31573
treatment-a,28106,29125
treatment-a,30938,34030
treatment-a,34056,23717
treatment-a,37488,18347
treatment-a,41265,22750
treatment-a,45423,14739
treatment-a,50000,82708
treatment-b,4,0
treatment-b,5,2
treatment-b,6,9
treatment-b,7,36
treatment-b,8,141
treatment-b,9,248
treatment-b,10,361
treatment-b,11,1067
treatment-b,12,1717
treatment-b,13,974
treatment-b,14,1052
treatment-b,15,2231
treatment-b,17,2647
treatment-b,19,3204
treatment-b,21,3689
treatment-b,23,4274
treatment-b,25,7532
treatment-b,28,9133
treatment-b,31,9156
treatment-b,34,11821
treatment-b,37,19762
treatment-b,41,20720
treatment-b,45,31096
treatment-b,50,33127
treatment-b,55,38886
treatment-b,61,39314
treatment-b,67,48711
treatment-b,74,50371
treatment-b,81,63750
treatment-b,89,79722
treatment-b,98,98461
treatment-b,108,115310
treatment-b,119,138418
treatment-b,131,162463
treatment-b,144,183675
treatment-b,158,221043
treatment-b,174,263938
treatment-b,192,303058
treatment-b,211,356517
treatment-b,232,406374
treatment-b,255,471840
treatment-b,281,529891
treatment-b,309,625658
treatment-b,340,682188
treatment-b,374,767783
treatment-b,412,884823
treatment-b,454,1011188
treatment-b,500,1145323
treatment-b,550,1281699
treatment-b,605,1399365
treatment-b,666,1439869
treatment-b,733,1468685
treatment-b,807,1457711
treatment-b,888,1446045
treatment-b,977,1441020
treatment-b,1075,1445333
treatment-b,1183,1448179
treatment-b,1302,1434197
treatment-b,1433,1415600
treatment-b,1577,1382890
treatment-b,1736,1330167
treatment-b,1911,1267003
treatment-b,2104,1186421
treatment-b,2316,1109991
treatment-b,2549,1031270
treatment-b,2806,949613
treatment-b,3089,867919
treatment-b,3400,782892
treatment-b,3743,688505
treatment-b,4120,599647
treatment-b,4535,522192
treatment-b,4992,410504
treatment-b,5495,362904
treatment-b,6049,320849
treatment-b,6659,279241
treatment-b,7330,241529
treatment-b,8069,205653
treatment-b,8882,174616
treatment-b,9777,152317
treatment-b,10762,131271
treatment-b,11846,113969
treatment-b,13040,95122
treatment-b,14354,80172
treatment-b,15800,70678
treatment-b,17392,58256
treatment-b,19144,50493
treatment-b,21073,47379
treatment-b,23196,38415
treatment-b,25533,31406
treatment-b,28106,29142
treatment-b,30938,34701
treatment-b,34056,23418
treatment-b,37488,18317
treatment-b,41265,22042
treatment-b,45423,14764
treatment-b,50000,84831
